Nume Stație,Latitudine,Longitudine,BENZINA EVO 100 PLUS,BENZINA EVO 95,Benzina,Benzina 95,Benzina 98,Benzina Extra 99,Benzina Standard 95 / Benzina 95,Benzina +,Benzina 95,Diesel,ECO Premium 95 - temporar nu mai comercializeaza,ECTO 100,ECTO PLUS 95,ECTO Super Diesel,EURO Plus fara pb,EURO Super 98 fara pb,Efix Benzina 95,Efix Motorina 51,EfixS Benzina 98,EfixS Motorina 55,Euro L Diesel,Euroluk COR 95,G-Drive 100,GPL,GPL Auto,GPL auto,MOTORINA EVO D,MOTORINA EVO D PLUS,Motorina,Motorina EURO,Motorina EURO3,Motorina Extra,Motorina Standard,Motorina Super EURO4,Motorina superioara,Motorina +,N/A,NANO 95,NANO 98,NANO DIESEL,NANO SUPER DIESEL,OMV Diesel,OMV MaxxMotion 100 plus,OMV MaxxMotion 95,OMV MaxxMotion Diesel,Premium Diesel,Premium E Plus,Premium EURO 4 - temporar nu mai comercializeaza,TEMPO Plus 98 - temporar nu mai comercializeaza
"LUKOIL - Prahova, Maneciu",45.332532,25.968949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,3.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GAZPROM - Timis, Dumbravita",45.813460,21.261400,N/A,N/A,N/A,7.32,N/A,N/A,N/A,N/A,N/A,7.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.25,N/A,N/A,N/A
"LUKOIL - Hunedoara, Calan",45.735864,22.997386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.90,4.43,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Mures, Sighisoara",46.232190,24.824390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.90,5.69,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,3.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Satu Mare, Carei",47.685215,22.486820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.89,N/A,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.19,N/A,N/A,N/A,3.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Cluj, Huedin",46.862714,23.030999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Cluj, Dej",47.140352,23.896899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.88,N/A,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Alba, Sebes",45.959723,23.548109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.89,4.52,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.19,N/A,N/A,N/A,3.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Vaslui, Vaslui",46.643720,27.714180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.89,7.86,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.19,N/A,N/A,N/A,3.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Vaslui, Vaslui",46.627805,27.739048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.89,8.77,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.19,N/A,N/A,N/A,3.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Prahova, Maneciu",45.332532,25.968949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,3.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GAZPROM - Timis, Dumbravita",45.813460,21.261400,N/A,N/A,N/A,7.32,N/A,N/A,N/A,N/A,N/A,7.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.25,N/A,N/A,N/A
"LUKOIL - Hunedoara, Calan",45.735864,22.997386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.90,4.43,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Mures, Sighisoara",46.232190,24.824390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.90,5.69,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.20,N/A,N/A,N/A,3.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"LUKOIL - Satu Mare, Carei",47.685215,22.486820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.89,N/A,7.89,N/A,N/A,N/A,N/A,N/A,N/A,7.53,7.19,N/A,N/A,N/A,3.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
